"Store,Dept,Date,Predicted_Weekly_Sales"
"1,1,2012-11-02,30224.371"
"1,1,2012-11-09,20066.5"
"1,1,2012-11-16,20791.045"
"1,1,2012-11-23,19969.467"
"1,1,2012-11-30,22095.018"
"1,1,2012-12-07,30016.943"
"1,1,2012-12-14,41464.105"
"1,1,2012-12-21,46278.387"
"1,1,2012-12-28,22844.742"
"1,1,2013-01-04,17243.613"
"1,1,2013-01-11,17435.375"
"1,1,2013-01-18,17251.086"
"1,1,2013-01-25,17669.809"
"1,1,2013-02-01,21971.242"
"1,1,2013-02-08,27852.285"
"1,1,2013-02-15,28955.316"
"1,1,2013-02-22,20968.688"
"1,1,2013-03-01,20597.928"
"1,1,2013-03-08,20707.611"
"1,1,2013-03-15,23822.729"
"1,1,2013-03-22,27912.545"
"1,1,2013-03-29,28645.748"
"1,1,2013-04-05,27258.771"
"1,1,2013-04-12,25596.354"
"1,1,2013-04-19,23663.418"
"1,1,2013-04-26,23427.14"
"1,1,2013-05-03,17497.748"
"1,1,2013-05-10,19436.746"
"1,1,2013-05-17,16925.957"
"1,1,2013-05-24,16604.748"
"1,1,2013-05-31,17592.08"
"1,1,2013-06-07,17521.672"
"1,1,2013-06-14,16594.152"
"1,1,2013-06-21,17003.68"
"1,1,2013-06-28,16592.918"
"1,1,2013-07-05,16749.408"
"1,1,2013-07-12,16470.71"
"1,1,2013-07-19,16063.398"
"1,1,2013-07-26,15436.1455"
"1,2,2012-11-02,41258.17"
"1,2,2012-11-09,41292.344"
"1,2,2012-11-16,41601.65"
"1,2,2012-11-23,40335.03"
"1,2,2012-11-30,39797.848"
"1,2,2012-12-07,40321.1"
"1,2,2012-12-14,44669.184"
"1,2,2012-12-21,50138.062"
"1,2,2012-12-28,39661.74"
"1,2,2013-01-04,38977.88"
"1,2,2013-01-11,39897.195"
"1,2,2013-01-18,38613.906"
"1,2,2013-01-25,38750.402"
"1,2,2013-02-01,41569.035"
"1,2,2013-02-08,42583.26"
"1,2,2013-02-15,41964.754"
"1,2,2013-02-22,41788.58"
"1,2,2013-03-01,41417.82"
"1,2,2013-03-08,41444.46"
"1,2,2013-03-15,41493.04"
"1,2,2013-03-22,42336.93"
"1,2,2013-03-29,41796.613"
"1,2,2013-04-05,41977.953"
"1,2,2013-04-12,41084.26"
"1,2,2013-04-19,41782.285"
"1,2,2013-04-26,41461.793"
"1,2,2013-05-03,48943.137"
"1,2,2013-05-10,49002.48"
"1,2,2013-05-17,49331.11"
"1,2,2013-05-24,49969.043"
"1,2,2013-05-31,50221.223"
"1,2,2013-06-07,50585.316"
"1,2,2013-06-14,50039.664"
"1,2,2013-06-21,50449.19"
"1,2,2013-06-28,49301.22"
"1,2,2013-07-05,50548.2"
"1,2,2013-07-12,51036.066"
"1,2,2013-07-19,50122.137"
"1,2,2013-07-26,49139.54"
"1,3,2012-11-02,14619.899"
"1,3,2012-11-09,14887.744"
"1,3,2012-11-16,14841.702"
"1,3,2012-11-23,14908.219"
"1,3,2012-11-30,15513.731"
"1,3,2012-12-07,16386.01"
"1,3,2012-12-14,15405.641"
